Diocese,Province,Cathedral_List,Cathedral_coord_list
Anchorage-Juneau,Anchorage-Juneau,['Our Lady of Guadalupe Cathedral(Anchorage)'],[]
Anchorage-Juneau,Anchorage-Juneau,['Co-Cathedral of the Nativity of the Blessed Virgin Mary(Juneau)'],[]
Fairbanks,Anchorage-Juneau,['Cathedral of the Sacred Heart'],[]
Atlanta,Atlanta,['Cathedral of Christ the King'],[]
Charleston,Atlanta,['Cathedral of Saint John the Baptist'],[]
Charlotte,Atlanta,['Cathedral of Saint Patrick'],[]
Raleigh,Atlanta,['Holy Name of Jesus Cathedral'],[]
Savannah,Atlanta,['Cathedral Basilica of Saint John the Baptist'],[]
Baltimore,Baltimore,['Cathedral of Mary Our Queen'],[]
Baltimore,Baltimore,['Basilica of the National Shrine of theAssumption of the Blessed Virgin Mary'],[]
Arlington,Baltimore,['Cathedral of Saint Thomas More'],[]
Richmond,Baltimore,['Cathedral of the Sacred Heart'],[]
Wheeling-Charleston,Baltimore,['Cathedral of Saint Joseph(Wheeling)'],[]
Wheeling-Charleston,Baltimore,['Basilica of the Co-Cathedral of the Sacred Heart(Charleston)'],[]
Wilmington,Baltimore,['Cathedral of Saint Peter'],[]
Boston,Boston,['Cathedral of the Holy Cross'],[]
Burlington,Boston,['Cathedral of Saint Joseph'],[]
Fall River,Boston,['Cathedral of St. Mary of the Assumption'],[]
Manchester,Boston,['Cathedral of Saint Joseph'],[]
Portland in Maine,Boston,['Cathedral of the Immaculate Conception'],[]
Springfield in Massachusetts,Boston,"[""Saint Michael's Cathedral""]",[]
Worcester,Boston,['Cathedral of Saint Paul'],[]
Chicago,Chicago,['Holy Name Cathedral'],[]
Belleville,Chicago,"[""St. Peter's Cathedral""]",[]
Joliet,Chicago,['Cathedral of St. Raymond Nonnatus'],[]
Peoria,Chicago,['Cathedral of Saint Mary of the Immaculate Conception'],[]
Rockford,Chicago,['Cathedral of Saint Peter'],[]
Springfield in Illinois,Chicago,['Cathedral of the Immaculate Conception'],[]
Cincinnati,Cincinnati,['Cathedral Basilica of Saint Peter in Chains'],[]
Cleveland,Cincinnati,['Cathedral of Saint John the Evangelist'],[]
Columbus,Cincinnati,['Saint Joseph Cathedral'],[]
Steubenville,Cincinnati,['Holy Name Cathedral'],[]
Toledo,Cincinnati,"['Our Lady, Queen of the Most Holy Rosary Cathedral']",[]
Youngstown,Cincinnati,['St. Columba Cathedral'],[]
Denver,Denver,['Cathedral Basilica of the Immaculate Conception'],[]
Cheyenne,Denver,"[""St. Mary's Cathedral""]",[]
Colorado Springs,Denver,['Cathedral of Saint Mary'],[]
Pueblo,Denver,['Cathedral of the Sacred Heart'],[]
Detroit,Detroit,['Cathedral of the Most Blessed Sacrament'],[]
Gaylord,Detroit,"['St. Mary, Our Lady of Mount Carmel Cathedral']",[]
Grand Rapids,Detroit,['Cathedral of Saint Andrew'],[]
Kalamazoo,Detroit,['Cathedral of Saint Augustine'],[]
Lansing,Detroit,['Saint Mary Cathedral'],[]
Marquette,Detroit,['Saint Peter Cathedral'],[]
Saginaw,Detroit,['Cathedral of Mary of the Assumption'],[]
Dubuque,Dubuque,"[""Saint Raphael's Cathedral""]",[]
Davenport,Dubuque,['Sacred Heart Cathedral'],[]
Des Moines,Dubuque,['Saint Ambrose Cathedral'],[]
Sioux City,Dubuque,['Cathedral of the Epiphany'],[]
Galveston-Houston,Galveston-Houston,,
Austin,Galveston-Houston,['Saint Mary Cathedral'],[]
Beaumont,Galveston-Houston,['Saint Anthony Cathedral Basilica'],[]
Brownsville,Galveston-Houston,['Immaculate Conception Cathedral'],[]
Corpus Christi,Galveston-Houston,['Corpus Christi Cathedral'],[]
Tyler,Galveston-Houston,['Cathedral of the Immaculate Conception'],[]
Victoria in Texas,Galveston-Houston,,
Hartford,Hartford,['Cathedral of Saint Joseph'],[]
Bridgeport,Hartford,['Saint Augustine Cathedral'],[]
Norwich,Hartford,['Cathedral of Saint Patrick'],[]
Providence,Hartford,['Cathedral of Saints Peter and Paul'],[]
Indianapolis,Indianapolis,['Saints Peter and Paul Cathedral'],[]
Evansville,Indianapolis,['Cathedral of Saint Benedict'],[]
Fort Wayne-South Bend,Indianapolis,,
Gary,Indianapolis,['Cathedral of the Holy Angels'],[]
Lafayette in Indiana,Indianapolis,['Cathedral of Saint Mary of the Immaculate Conception'],[]
Kansas City in Kansas,Kansas City in Kansas,['Cathedral of Saint Peter'],[]
Dodge City,Kansas City in Kansas,['Cathedral of Our Lady of Guadalupe'],[]
Salina,Kansas City in Kansas,['Sacred Heart Cathedral'],[]
Wichita,Kansas City in Kansas,['Cathedral of the Immaculate Conception'],[]
Los Angeles,Los Angeles,['Cathedral of Our Lady of the Angels'],[]
Fresno,Los Angeles,['Saint John the Baptist Cathedral'],[]
Monterey,Los Angeles,['Cathedral of San Carlos Borromeo'],[]
Orange,Los Angeles,['Christ Cathedral'],[]
San Bernardino,Los Angeles,['Our Lady of the Rosary Cathedral'],[]
San Diego,Los Angeles,['Saint Joseph Cathedral'],[]
Louisville,Louisville,['Cathedral of the Assumption'],[]
Covington,Louisville,['Cathedral Basilica of the Assumption'],[]
Knoxville,Louisville,['Cathedral of the Most Sacred Heart of Jesus'],[]
Lexington,Louisville,['Cathedral of Christ the King'],[]
Memphis,Louisville,['Cathedral of the Immaculate Conception'],[]
Nashville,Louisville,['Cathedral of the Incarnation'],[]
Owensboro,Louisville,['Saint Stephen Cathedral'],[]
Miami,Miami,['Cathedral of Saint Mary'],[]
Orlando,Miami,['Saint James Cathedral'],[]
Palm Beach,Miami,['Cathedral of Saint Ignatius Loyola'],[]
Pensacola-Tallahassee,Miami,,
St. Augustine,Miami,['Cathedral Basilica of St. Augustine'],[]
St. Petersburg,Miami,['Cathedral of Saint Jude the Apostle'],[]
Venice,Miami,['Epiphany Cathedral'],[]
Milwaukee,Milwaukee,['Cathedral of Saint John the Evangelist'],[]
Green Bay,Milwaukee,['Cathedral of Saint Francis Xavier'],[]
La Crosse,Milwaukee,['Cathedral of Saint Joseph the Workman'],[]
Madison,Milwaukee,"[""Saint Raphael's Cathedral has yet to be replaced after it was destroyed by a fire in 2005.""]",[]
Superior,Milwaukee,['Cathedral of Christ the King'],[]
Mobile,Mobile,['Cathedral Basilica of the Immaculate Conception'],[]
Biloxi,Mobile,['Cathedral of the Nativity of the Blessed Virgin Mary'],[]
Birmingham,Mobile,['Cathedral of Saint Paul'],[]
Jackson,Mobile,['Cathedral of Saint Peter the Apostle'],[]
New Orleans,New Orleans,['Cathedral-Basilica of Saint Louis IX King of France'],[]
Alexandria,New Orleans,['Saint Francis Xavier Cathedral'],[]
Baton Rouge,New Orleans,['Saint Joseph Cathedral'],[]
Houma-Thibodaux,New Orleans,,
Lafayette in Louisiana,New Orleans,['Cathedral of Saint John the Evangelist'],[]
Lake Charles,New Orleans,['Cathedral of the Immaculate Conception'],[]
Shreveport,New Orleans,['Cathedral of St. John Berchmans'],[]
New York,New York,"[""Saint Patrick's Cathedral""]",[]
Albany,New York,['Cathedral of the Immaculate Conception'],[]
Brooklyn,New York,['Cathedral Basilica of Saint James'],[]
Brooklyn,New York,['Co-Cathedral of Saint Joseph'],[]
Buffalo,New York,['Saint Joseph Cathedral'],[]
Ogdensburg,New York,"[""Saint Mary's Cathedral""]",[]
Rochester,New York,['Sacred Heart Cathedral'],[]
Rockville Centre,New York,['St. Agnes Cathedral'],[]
Syracuse,New York,['Cathedral of the Immaculate Conception'],[]
Newark,Newark,['Cathedral Basilica of the Sacred Heart'],[]
Camden,Newark,['Cathedral of the Immaculate Conception'],[]
Camden,Newark,['Saint Joseph Pro-Cathedral'],[]
Metuchen,Newark,['Saint Francis of Assisi Cathedral'],[]
Paterson,Newark,['Cathedral of Saint John the Baptist'],[]
Trenton,Newark,['Cathedral of Saint Mary of the Assumption(Trenton)'],[]
Trenton,Newark,['Co-Cathedral of St. Robert Bellarmine(Freehold)'],[]
Oklahoma City,Oklahoma City,['Cathedral of Our Lady of Perpetual Help'],[]
Little Rock,Oklahoma City,['Cathedral of Saint Andrew'],[]
Tulsa,Oklahoma City,['Holy Family Cathedral'],[]
Omaha,Omaha,['St. Cecilia Cathedral'],[]
Grand Island,Omaha,['Cathedral of the Nativity of the Blessed Virgin Mary'],[]
Lincoln,Omaha,['Cathedral of the Risen Christ'],[]
Philadelphia,Philadelphia,['Cathedral Basilica of Saints Peter and Paul'],[]
Allentown,Philadelphia,['Cathedral of Saint Catharine of Siena'],[]
Altoona-Johnstown,Philadelphia,,
Erie,Philadelphia,['Saint Peter Cathedral'],[]
Greensburg,Philadelphia,['Blessed Sacrament Cathedral'],[]
Harrisburg,Philadelphia,['Cathedral of Saint Patrick'],[]
Pittsburgh,Philadelphia,['Saint Paul Cathedral'],[]
Scranton,Philadelphia,"[""Saint Peter's Cathedral""]",[]
Portland in Oregon,Portland in Oregon,,
