Diocese,Province,Cathedral_List,Cathedral_coord_list,Notes
Anchorage-Juneau,Anchorage-Juneau,"['Our Lady of Guadalupe Cathedral (Anchorage)', 'Co-Cathedral of the Nativity of the Blessed Virgin Mary (Juneau)']","[61.18492777777778, -149.94404444444444], [58.30336, -134.40831]",Our Lady of Guadalupe Cathedral's coordinates come from Wikipedia
Fairbanks,Anchorage-Juneau,['Cathedral of the Sacred Heart'],"[64.83631, -147.78065]",
Atlanta,Atlanta,['Cathedral of Christ the King'],"[33.8279, -84.38699]",
Charleston,Atlanta,['Cathedral of Saint John the Baptist'],"[32.77656, -79.93447]",
Charlotte,Atlanta,['Cathedral of Saint Patrick'],"[35.20529, -80.84475]",
Raleigh,Atlanta,['Holy Name of Jesus Cathedral'],"[35.7775, -78.66998]",
Savannah,Atlanta,['Cathedral Basilica of Saint John the Baptist'],"[32.07334, -81.09098]",
Baltimore,Baltimore,"['Cathedral of Mary Our Queen', ‘Basilica of the National Shrine of the Assumption of the Blessed Virgin Mary']","[[39.35878, -76.62601], [39.29446, -76.61624]]",
Arlington,Baltimore,['Cathedral of Saint Thomas More'],"[38.87053, -77.10344]",
Richmond,Baltimore,['Cathedral of the Sacred Heart'],"[37.54751, -77.45236]",
Wheeling-Charleston,Baltimore,"['Cathedral of Saint Joseph (Wheeling)', 'Basilica of the Co-Cathedral of the Sacred Heart (Charleston)']","[[40.06649, -80.71958], [38.34731, -81.63293]]",
Wilmington,Baltimore,['Cathedral of Saint Peter'],"[39.74281, -75.55326]",
Boston,Boston,['Cathedral of the Holy Cross'],"[42.34073, -71.06947]",
Burlington,Boston,['Cathedral of Saint Joseph'],"[44.48323, -73.21459]",
Fall River,Boston,['Cathedral of St. Mary of the Assumption'],"[41.69871, -71.15783]",
Manchester,Boston,['Cathedral of Saint Joseph'],"[42.99339, -71.45883]",
Portland in Maine,Boston,['Cathedral of the Immaculate Conception'],"[43.66161, -70.25433]",
Springfield in Massachusetts,Boston,"[""Saint Michael's Cathedral""]","[42.10436, -72.58469]",
Worcester,Boston,['Cathedral of Saint Paul'],"[42.26162, -71.80424]",
Chicago,Chicago,['Holy Name Cathedral'],"[41.89595, -87.6276]",
Belleville,Chicago,"[""St. Peter's Cathedral""]","[38.51027777777778, -89.98805555555556]",Location is from Wikipedia
Joliet,Chicago,['Cathedral of St. Raymond Nonnatus'],"[41.53529, -88.10056]",
Peoria,Chicago,['Cathedral of Saint Mary of the Immaculate Conception'],"[40.69841, -89.58495]",
Rockford,Chicago,['Cathedral of Saint Peter'],"[42.28495, -89.0829]",
Springfield in Illinois,Chicago,['Cathedral of the Immaculate Conception'],"[39.79338, -89.64864]",
Cincinnati,Cincinnati,['Cathedral Basilica of Saint Peter in Chains'],"[39.10341, -84.51964]",
Cleveland,Cincinnati,['Cathedral of Saint John the Evangelist'],"[41.50301, -81.68808]",
Columbus,Cincinnati,['Saint Joseph Cathedral'],"[39.9634, -82.99473]",
Steubenville,Cincinnati,['Holy Name Cathedral'],"[40.35536, -80.61935]",
Toledo,Cincinnati,"['Our Lady, Queen of the Most Holy Rosary Cathedral']","[41.67257, -83.5561]",
Youngstown,Cincinnati,['St. Columba Cathedral'],"[41.1035, -80.65062]",
Denver,Denver,['Cathedral Basilica of the Immaculate Conception'],"[39.74044, -104.98199]",
Cheyenne,Denver,"[""St. Mary's Cathedral""]","[41.13772, -104.8177]",
Colorado Springs,Denver,['Cathedral of Saint Mary'],"[38.83631, -104.82666]",
Pueblo,Denver,['Cathedral of the Sacred Heart'],"[38.27689, -104.61209]",
Detroit,Detroit,['Cathedral of the Most Blessed Sacrament'],"[42.38862, -83.08484]",
Gaylord,Detroit,"['St. Mary, Our Lady of Mount Carmel Cathedral']","[45.03352, -84.68298]",
Grand Rapids,Detroit,['Cathedral of Saint Andrew'],"[42.95805, -85.66716]",
Kalamazoo,Detroit,['Cathedral of Saint Augustine'],"[42.29213, -85.59143]",
Lansing,Detroit,['Saint Mary Cathedral'],"[42.73563, -84.55602]",
Marquette,Detroit,['Saint Peter Cathedral'],"[46.54106, -87.39875]",
Saginaw,Detroit,['Cathedral of Mary of the Assumption'],"[43.42589, -83.93661]",
Dubuque,Dubuque,"[""Saint Raphael's Cathedral""]","[42.49505, -90.6673]",
Davenport,Dubuque,['Sacred Heart Cathedral'],"[41.53034, -90.56913]",
Des Moines,Dubuque,['Saint Ambrose Cathedral'],"[41.58878, -93.62586]",
Sioux City,Dubuque,['Cathedral of the Epiphany'],"[42.50094, -96.4069]",
Galveston-Houston,Galveston-Houston,"[‘Saint Mary Cathedral Basilica’ (Galveston), ‘Co-Cathedral of the Sacred Heart (Houston)’]","[29.30417, -94.79039], [29.74988, -95.36869]",
Austin,Galveston-Houston,['Saint Mary Cathedral'],"[30.27108, -97.74]",
Beaumont,Galveston-Houston,['Saint Anthony Cathedral Basilica'],"[30.07777777777778, -94.10083333333333]",Location is from Wikipedia
Brownsville,Galveston-Houston,['Immaculate Conception Cathedral'],"[25.90245, -97.49594]",
Corpus Christi,Galveston-Houston,['Corpus Christi Cathedral'],"[27.79448, -97.39685]",
Tyler,Galveston-Houston,['Cathedral of the Immaculate Conception'],"[32.3463, -95.30116]",
Victoria in Texas,Galveston-Houston,[‘Our Lady of Victory Cathedral’],"[28.8243, -96.9919]",Obtained via GeoHack
Hartford,Hartford,['Cathedral of Saint Joseph'],"[41.76853, -72.69218]",
Bridgeport,Hartford,['Saint Augustine Cathedral'],"[41.16427, -73.19456]",
Norwich,Hartford,['Cathedral of Saint Patrick'],"[41.53125, -72.0772]",
