Diocese,Province
Anchorage-Juneau,Anchorage-Juneau
Fairbanks,Anchorage-Juneau
Atlanta,Atlanta
Charleston,Atlanta
Charlotte,Atlanta
Raleigh,Atlanta
Savannah,Atlanta
Arlington,Baltimore
Baltimore,Baltimore
Richmond,Baltimore
Wheeling-Charleston,Baltimore
Wilmington,Baltimore
Boston,Boston
Burlington,Boston
Fall River,Boston
Manchester,Boston
Portland in Maine,Boston
Springfield in Massachusetts,Boston
Worcester,Boston
Belleville,Chicago
Chicago,Chicago
Joliet,Chicago
Peoria,Chicago
Rockford,Chicago
Springfield in Illinois,Chicago
Cincinnati,Cincinnati
Cleveland,Cincinnati
Columbus,Cincinnati
Steubenville,Cincinnati
Toledo,Cincinnati
Youngstown,Cincinnati
Cheyenne,Denver
Colorado Springs,Denver
Denver,Denver
Pueblo,Denver
Detroit,Detroit
Gaylord,Detroit
Grand Rapids,Detroit
Kalamazoo,Detroit
Lansing,Detroit
Marquette,Detroit
Saginaw,Detroit
Davenport,Dubuque
Des Moines,Dubuque
Dubuque,Dubuque
Sioux City,Dubuque
Austin,Galveston-Houston
Beaumont,Galveston-Houston
Brownsville,Galveston-Houston
Corpus Christi,Galveston-Houston
Galveston-Houston,Galveston-Houston
Tyler,Galveston-Houston
Victoria in Texas,Galveston-Houston
Bridgeport,Hartford
Hartford,Hartford
Norwich,Hartford
Providence,Hartford
Evansville,Indianapolis
Fort Wayne-South Bend,Indianapolis
Gary,Indianapolis
Indianapolis,Indianapolis
Lafayette in Indiana,Indianapolis
Dodge City,Kansas City in Kansas
Kansas City in Kansas,Kansas City in Kansas
Salina,Kansas City in Kansas
Wichita,Kansas City in Kansas
Las Vegas,Las Vegas
Reno,Las Vegas
Salt Lake City,Las Vegas
Fresno,Los Angeles
Los Angeles,Los Angeles
Monterey,Los Angeles
Orange,Los Angeles
San Bernardino,Los Angeles
San Diego,Los Angeles
Covington,Louisville
Knoxville,Louisville
Lexington,Louisville
Louisville,Louisville
Memphis,Louisville
Nashville,Louisville
Owensboro,Louisville
Miami,Miami
Orlando,Miami
Palm Beach,Miami
Pensacola-Tallahassee,Miami
St. Augustine,Miami
St. Petersburg,Miami
Venice,Miami
Green Bay,Milwaukee
La Crosse,Milwaukee
Madison,Milwaukee
Milwaukee,Milwaukee
Superior,Milwaukee
Biloxi,Mobile
Birmingham,Mobile
Jackson,Mobile
Mobile,Mobile
Alexandria,New Orleans
Baton Rouge,New Orleans
Houma-Thibodaux,New Orleans
Lafayette in Louisiana,New Orleans
Lake Charles,New Orleans
New Orleans,New Orleans
Shreveport,New Orleans
Albany,New York
Brooklyn,New York
Buffalo,New York
New York,New York
Ogdensburg,New York
Rochester,New York
Rockville Centre,New York
Syracuse,New York
Camden,Newark
Metuchen,Newark
Newark,Newark
Paterson,Newark
Trenton,Newark
Little Rock,Oklahoma City
Oklahoma City,Oklahoma City
Tulsa,Oklahoma City
Grand Island,Omaha
Lincoln,Omaha
Omaha,Omaha
Allentown,Philadelphia
Altoona-Johnstown,Philadelphia
Erie,Philadelphia
Greensburg,Philadelphia
Harrisburg,Philadelphia
Philadelphia,Philadelphia
Pittsburgh,Philadelphia
Scranton,Philadelphia
Baker,Portland in Oregon
Boise,Portland in Oregon
Great Falls-Billings,Portland in Oregon
Helena,Portland in Oregon
Portland in Oregon,Portland in Oregon
Amarillo,San Antonio
Dallas,San Antonio
El Paso,San Antonio
Fort Worth,San Antonio
Laredo,San Antonio
Lubbock,San Antonio
San Angelo,San Antonio
San Antonio,San Antonio
Honolulu,San Francisco
Oakland,San Francisco
Sacramento,San Francisco
San Francisco,San Francisco
San Jose,San Francisco
Santa Rosa,San Francisco
Stockton,San Francisco
Gallup,Santa Fe
Las Cruces,Santa Fe
Phoenix,Santa Fe
Santa Fe,Santa Fe
Tucson,Santa Fe
Seattle,Seattle
Spokane,Seattle
Yakima,Seattle
Jefferson City,St. Louis
Kansas City-St. Joseph,St. Louis
Springfield-Cape Girardeau,St. Louis
St. Louis,St. Louis
Bismark,St. Paul and Minneapolis
Crookston,St. Paul and Minneapolis
Duluth,St. Paul and Minneapolis
Fargo,St. Paul and Minneapolis
New Ulm,St. Paul and Minneapolis
Rapid City,St. Paul and Minneapolis
Sioux Falls,St. Paul and Minneapolis
St. Cloud,St. Paul and Minneapolis
St. Paul and Minneapolis,St. Paul and Minneapolis
Winona-Rochester,St. Paul and Minneapolis
St. Thomas,Washington
Washington,Washington
