,ANSICODE,HYDROID,FULLNAME,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON,geometry
112698,,1101180177251,,H2030,0.0,2074.0,+41.7107123,-81.1023660,"POLYGON ((-81.10252399999996 41.710860000000025, -81.10223499999995 41.71117200000003, -81.10223099999996 41.71022900000003, -81.10248399999995 41.71039300000007, -81.10252399999996 41.710860000000025))"
246309,,110378324400,,H2030,0.0,14551.0,+41.7770790,-80.9741381,"POLYGON ((-80.97506099999998 41.77822500000008, -80.97365499999995 41.77731000000006, -80.97392899999994 41.77573200000006, -80.97405199999997 41.776807000000076, -80.97506099999998 41.77822500000008))"
246311,,110378324405,,H2030,0.0,7315.0,+41.7675419,-80.8760951,"POLYGON ((-80.87677499999995 41.76792000000006, -80.87530999999996 41.76775900000007, -80.87530999999996 41.76737000000003, -80.87662299999994 41.76734800000003, -80.87677499999995 41.76792000000006))"
246315,,110378324415,,H2030,0.0,10517.0,+41.7380337,-80.5376521,"POLYGON ((-80.53859199999994 41.738060000000075, -80.53675799999996 41.73863200000005, -80.53657499999997 41.73849500000006, -80.53764399999994 41.73758000000004, -80.53859199999994 41.738060000000075))"
246424,,110378324425,,H2030,0.0,19870.0,+41.8685050,-80.8166399,"POLYGON ((-80.81735999999995 41.869444000000044, -80.81653299999994 41.86935300000005, -80.81582899999995 41.86759100000006, -80.81723699999998 41.86804900000004, -80.81735999999995 41.869444000000044))"
246425,,110378324431,,H2030,0.0,16135.0,+41.8042727,-80.8502672,"POLYGON ((-80.85129499999994 41.80485500000003, -80.85025499999995 41.80485500000003, -80.84896999999995 41.803780000000074, -80.85126399999996 41.804260000000056, -80.85129499999994 41.80485500000003))"
246426,,110378324434,,H2030,0.0,7373.0,+41.7993013,-80.8727099,"POLYGON ((-80.87324399999994 41.79928600000005, -80.87266399999999 41.79985800000003, -80.87208099999998 41.79898900000006, -80.87299899999994 41.79887400000007, -80.87324399999994 41.79928600000005))"
246427,,110378324438,,H2030,0.0,10683.0,+41.7553021,-80.8058268,"POLYGON ((-80.80754199999996 41.75562800000006, -80.80638099999999 41.75565100000006, -80.80445599999996 41.75514800000008, -80.80497599999995 41.754759000000035, -80.80754199999996 41.75562800000006))"
246430,,110378324450,,H2030,0.0,8157.0,+41.9233734,-80.6257887,"POLYGON ((-80.62615799999998 41.92385100000007, -80.62548399999997 41.92394200000007, -80.62542399999995 41.92275300000006, -80.62615899999997 41.92298200000005, -80.62615799999998 41.92385100000007))"
246431,,110378324460,,H2030,0.0,46679.0,+41.8767048,-80.7077021,"POLYGON ((-80.71041499999995 41.87703400000004, -80.70802699999996 41.877469000000076, -80.70456799999994 41.87687500000004, -80.70692499999996 41.87591400000008, -80.71041499999995 41.87703400000004))"
